designer,spring-summer-2017,spring-summer-2018
a-w-a-k-e-mode,0.0,57.0
antonio-berardi,43.0,43.0
anya-hindmarch,40.0,40.0
ashish,33.0,38.0
ashley-williams,0.0,27.0
barbara-casasola,29.0,0.0
bora-aksu,29.0,37.0
burberry,78.0,84.0
chalayan,0.0,45.0
christopher-kane,38.0,47.0
cividini,0.0,2.0
daks,22.0,39.0
david-koma,36.0,37.0
emilia-wickstead,39.0,42.0
emilio-de-la-morena,0.0,34.0
emporio-armani,0.0,113.0
erdem,39.0,46.0
eudon-choi-1,43.0,33.0
fashion-east,0.0,46.0
fyodor-golan,0.0,32.0
gareth-pugh,35.0,0.0
halpern,0.0,30.0
house-of-holland,31.0,30.0
jasper-conran,44.0,43.0
joseph,43.0,44.0
julien-macdonald,0.0,40.0
jw-anderson,43.0,39.0
lunyee,0.0,30.0
margaret-howell,0.0,53.0
marques-almeida,43.0,43.0
marta-jakubowski,0.0,30.0
mary-katrantzou,33.0,37.0
mila-schon,0.0,1.0
molly-goddard,0.0,25.0
mother-of-pearl,34.0,32.0
mulberry,48.0,41.0
natasha-zinko,0.0,29.0
nicopanda,0.0,34.0
osman,33.0,0.0
palmer-harding,0.0,26.0
pam-hogg,0.0,30.0
paul-smith,36.0,0.0
paula-knorr,0.0,26.0
peter-pilotto,35.0,42.0
ports-1961,0.0,36.0
preen-by-thornton-bregazzi,40.0,39.0
pringle-of-scotland,25.0,31.0
rejina-pyo,0.0,39.0
richard-malone,0.0,20.0
roksanda,34.0,34.0
roland-mouret,0.0,40.0
ryan-lo,25.0,29.0
sharon-wauchob,35.0,33.0
simone-rocha,40.0,40.0
teatum-jones,35.0,29.0
temperley-london,36.0,38.0
toga,40.0,40.0
topshop,36.0,0.0
versus-versace,42.0,49.0
